,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
258,4329,"La nuit, qant ot li rois ",mengié,", Par la sale furent couchié. ",8,mengié,_,VERB,VERppe,Tense=Past|VerbForm=Part,14,advcl,_,SpaceAfter=No|XmlId=w_26_04939,1
262,4343,"En son cuer dist qu'il parleroit A la roïne, s'il ",pooit,", Qant ses oncles ert endormiz. ",14,pooit,_,VERB,VERcjg,VerbForm=Fin,7,advcl,_,SpaceAfter=No|XmlId=w_26_05085,2
265,4349,Tristran vit le nain ,besuchier, Et la farine esparpellier. ,5,besuchier,_,VERB,VERinf,VerbForm=Inf,2,xcomp,_,XmlId=w_26_05152,2
288,4390,"Au tresallir que Tristran fait, Li sans decent (malement ",vait,) De la plaie sor la farine. ,12,vait,_,VERB,VERcjg,VerbForm=Fin,9,parataxis,_,SpaceAfter=No|XmlId=w_26_05454,1
294,4423,"Ne fust por vos a corocier, Cist plez fust ja ",venduz, mot chier ; ,12,venduz,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_26_05785,2
301,4436,Mais en Deu tant fort se fiot Que bien ,savoit," et bien quidoit, S'a escondit peüst venir, Nus nen osast armes saisir Encontre lui, lever ne prendre : ",10,savoit,_,VERB,VERcjg,VerbForm=Fin,7,advcl,_,XmlId=w_26_05958,2
305,4448,"Ha ! roïne franche, ",honoree,", En qel terre sera mais nee Fille de roi qui ton cors valle ? ",6,honoree,_,VERB,VERppe,Tense=Past|VerbForm=Part,3,acl,_,SpaceAfter=No|XmlId=w_26_06124,2
312,470,"« Bel sire Guenes, ço li ad dit Marsilie, Jo vos ai fait alques de legerie, Quant por ",ferir, vus demustrai grant ire. ,22,ferir,_,VERB,VERinf,VerbForm=Inf,24,advcl,_,XmlId=w_58_04614,1
317,489,N'est hom kil ,veit, e conuistre le set Que ço ne diet que l'emperere est ber. ,5,veit,_,VERB,VERcjg,VerbForm=Fin,3,acl,_,XmlId=w_58_04769,1
319,490,Tant nel vos sai ne preiser ne ,loer, Que plus n'i ad d'onur e de bontet. ,8,loer,_,VERB,VERinf,VerbForm=Inf,6,conj,_,XmlId=w_58_04791,1
321,492,De tel barnage l'ad Deus enluminet Meilz voelt ,murir, que guerpir sun barnet. » ,10,murir,_,VERB,VERinf,VerbForm=Inf,3,acl,_,XmlId=w_58_04820,2
327,499,- Ço n',iert,", dist Guenes, tant cum vivet sis niés : ",4,iert,_,VERB,VERcjg,VerbForm=Fin,0,root,_,SpaceAfter=No|XmlId=w_58_04890,2
336,510,- Ço n',iert,", dist Guenes, tant cum vivet Rollant : ",4,iert,_,VERB,VERcjg,VerbForm=Fin,0,root,_,SpaceAfter=No|XmlId=w_58_05014,2
345,538,La gent de France iert ,blecee, e blesmie ; ,6,blecee,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_58_05318,1
346,539,"Nel di por ço, des voz ",iert, la martirie. ,8,iert,_,VERB,VERcjg,VerbForm=Fin,2,dislocated,_,XmlId=w_58_05329,1
367,615,"Par main en l'albe, si cum li jurz ",esclairet,", Guenes li quens est venuz as herberges. ",11,esclairet,_,VERB,VERcjg,VerbForm=Fin,17,advcl,_,SpaceAfter=No|XmlId=w_58_06021,1
377,72,Cil sunt ,muntez, ki le message firent ; ,3,muntez,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_58_00798,1
387,8611,car nos avons veu toz jorz que vos a haute feste n'asseiez a table devant que aucune aventure fust en vostre cort avenue ,voiant, toz les barons de vostre ostel. ,25,voiant,_,VERB,VERppa,Tense=Pres|VerbForm=Part,13,advcl,_,XmlId=w_qgraal_cm_1666,1
390,8615,mes je avoie si grant joie de Lancelot et de ses cousins qui estoient venu a cort sain et ,haitié, qu'il ne me sovenoit de la costume. ,20,haitié,_,VERB,VERppe,Tense=Past|VerbForm=Part,18,conj,_,XmlId=w_qgraal_cm_1721,1
395,8625,Et li rois ,descent," maintenant por ceste aventure veoir, ",4,descent,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_1815,2
401,8644,"- Toutes voies, ",fet," li rois, i essaierez vos se vos la porriez oster. ",5,fet,_,VERB,VERcjg,VerbForm=Fin,10,parataxis,_,XmlId=w_qgraal_cm_2037,2
409,8657,"- Toute voies, ",fait," li rois, i essaieroiz vos por ce que je le voil. Ne mie por l'espee avoir. » ",5,fait,_,VERB,VERcjg,VerbForm=Fin,10,parataxis,_,XmlId=w_qgraal_cm_2205,2
412,8665,"- Mes sires Gauvains, ",fet," Lancelot, or sachiez que ceste espee vos touchera encore si de pres que vos ne la voldriez avoir bailliee por un chastel. ",6,fet,_,VERB,VERcjg,VerbForm=Fin,10,parataxis,_,XmlId=w_qgraal_cm_2276,1
415,8667,Se je en deusse orendroit ,morir, si le feïsse je por la volenté mon seignor acomplir. » ,6,morir,_,VERB,VERinf,VerbForm=Inf,9,advcl,_,XmlId=w_qgraal_cm_2320,3
422,8688,Celui jor servirent laienz.iiii. roi tuit ,coronné,", et avec aux tant de hauz homes que a merveilles les poïst l'en tenir. ",8,coronné,_,VERB,VERppe,Tense=Past|VerbForm=Part,6,acl,_,SpaceAfter=No|XmlId=w_qgraal_cm_2541,2
423,8691,Si avint einsint quant il se furent tuit assis par laienz qu'il troverent que tuit li compaignon de la table reonde furent ,venu,", et li siege empli, fors solement cil que l'en apeloit siege perilleux. ",24,venu,_,VERB,VERppe,Tense=Past|VerbForm=Part,14,ccomp,_,SpaceAfter=No|XmlId=w_qgraal_cm_2606,1
427,8698,Endementres que li rois parloit einsi si ,entra," laienz.i. preudom a une blanche robe vielz et anciens, ",8,entra,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_2732,3
428,8698,Endementres que li rois ,parloit," einsi si entra laienz.i. preudom a une blanche robe vielz et anciens, ",5,parloit,_,VERB,VERcjg,VerbForm=Fin,8,advcl,_,XmlId=w_qgraal_cm_2729,3
435,8713,"- Par foi, ",fait," li preudons, vos en verroiz par tens tel comencement qui bel sera. » ",5,fait,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_2961,2
436,8716,et il li a baillié maintenant un mantel vermeil a ,afubler," qu'il portoit sor s'espaule tout de samit, ",11,afubler,_,VERB,VERinf,VerbForm=Inf,5,advcl,_,XmlId=w_qgraal_cm_3003,1
443,8737,et lor dites de par moi que je les iré veoir au plus tost que je ,porrai, et que je en avrai loisir. » ,17,porrai,_,VERB,VERcjg,VerbForm=Fin,14,advcl,_,XmlId=w_qgraal_cm_3208,2
448,8767,"- Je nel sai mie bien, ",fet," Lion. Mes tant que ce est cil qui a esté hui fet chevalier novel, que mes sires Lancelot fist chevalier de sa main, et ce est cil donc entre vos et moi avons tote jor parlé que mes sires Lancelot engendra, en la fille au riche roi pescheor. ",8,fet,_,VERB,VERcjg,VerbForm=Fin,4,parataxis,_,XmlId=w_qgraal_cm_3673,1
456,8778,"- Par foi dame, ",fet," il, uns chevaliers est venuz a cort qui a acomplie l'aventure dou siege perilleus, ",6,fet,_,VERB,VERcjg,VerbForm=Fin,12,parataxis,_,XmlId=w_qgraal_cm_3854,2
459,8782,"- A non Dieu, ",fait," ele, donc li est il mout bien avenu, ",6,fait,_,VERB,VERcjg,VerbForm=Fin,15,parataxis,_,XmlId=w_qgraal_cm_3918,1
460,8783,car cele aventure ne volt onques mes nus hons achever qui n'i fust morz ou ,mehaigniez, ainz qu'il l'eust menee a fin. ,17,mehaigniez,_,VERB,VERppe,Tense=Past|VerbForm=Part,15,conj,_,XmlId=w_qgraal_cm_3945,1
461,8783,car cele aventure ne volt onques mes nus hons achever qui n'i fust ,morz, ou mehaigniez ainz qu'il l'eust menee a fin. ,15,morz,_,VERB,VERppe,Tense=Past|VerbForm=Part,9,acl:relcl,_,XmlId=w_qgraal_cm_3943,1
466,8796,Quant li rois ot ,mengié, et li compaignon de la table reonde si se leverent de lor sieges. ,5,mengié,_,VERB,VERppe,Tense=Past|VerbForm=Part,15,advcl,_,XmlId=w_qgraal_cm_4189,1
467,8803,or pensons de lui honorer et ,servir," tant com il sera avec nos, ",7,servir,_,VERB,VERinf,VerbForm=Inf,5,conj,_,XmlId=w_qgraal_cm_4275,1
475,8813,"car je le devoie bien fere, por ce que de ceenz doivent ",movoir, tuit cil qui seront compaignon de la queste dou saint Graal qui par tens sera comenciee. ,14,movoir,_,VERB,VERinf,VerbForm=Inf,9,acl,_,XmlId=w_qgraal_cm_4441,3
479,8823,et tuit li baron dou palais et de laienz ,vont, aprés por veoir coment l'aventure dou perron sera menee a fin. ,10,vont,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_4611,1
484,8838,a ceste espee trere fors de cest perron ont hui failli des plus ,proisiez, chevaliers de mon ostel qui onques ne l'em porent trere. ,14,proisiez,_,VERB,VERppe,Tense=Past|VerbForm=Part,15,acl,_,XmlId=w_qgraal_cm_4814,3
488,8851,"- Biax sire, ",fet," li rois, escu vos envoiera Diex d'aucune part ausi com il a fet espee. » ",5,fet,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_4947,1
492,8862,« Ha.´ Lancelot tant est vostre afere ,changié, puis hui matin. » ,9,changié,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_qgraal_cm_5057,2
493,8865,"- Par foi, fait ele, je le vos dirai ",voiant, toz cels de ceste place. ,12,voiant,_,VERB,VERppa,Tense=Pres|VerbForm=Part,11,advcl,_,XmlId=w_qgraal_cm_5091,1
494,8865,"- Par foi, ",fait," ele, je le vos dirai voiant toz cels de ceste place. ",5,fait,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_5084,1
498,8890,de tiex i ot por ,joster," plus aseur, ",6,joster,_,VERB,VERinf,VerbForm=Inf,4,advcl,_,XmlId=w_qgraal_cm_5473,1
503,8904,car quant li tornois fu ,remés," il troverent que de toz les compaignons de la table reonde qui armes portassent n'i avoit il remés que.ii. qu'il n'eust abatuz, ",6,remés,_,VERB,VERppe,Tense=Past|VerbForm=Part,8,advcl,_,XmlId=w_qgraal_cm_5749,3
516,8928,et neporquant il n'avoit laienz home qui poïst parler ne ,dire," mot, de sa bouche. ",12,dire,_,VERB,VERinf,VerbForm=Inf,10,conj,_,XmlId=w_qgraal_cm_6145,1
518,8930,"Et quant il orent grant piece demoré en tel maniere que nus d'aux n'avoit pooir de parler, ainz s'entreresgarderent autresi comme bestes mues.´ lors ",entra," laienz li sainz Graaux coverz d'un blanc samit, ",30,entra,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_6189,2
519,8930,Et quant il orent grant piece demoré en tel maniere que nus d'aux n'avoit pooir de ,parler,", ainz s'entreresgarderent autresi comme bestes mues.´ lors entra laienz li sainz Graaux coverz d'un blanc samit, ",19,parler,_,VERB,VERinf,VerbForm=Inf,17,acl,_,SpaceAfter=No|XmlId=w_qgraal_cm_6178,2
522,8937,Et quant tuit furent servi li un et li autre li sainz Graaux s'en ,parti, tantost qu'il ne sorent qu'il pot estre devenuz. ,16,parti,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_6303,1
525,8941,Mes sor toz ceus qui laienz ,estoient, en fu li rois Artus joianz et liez de ce que greignor debonaireté li avoit Nostre Sires mostré qu'a nul roi qui devant lui eust esté. ,7,estoient,_,VERB,VERcjg,VerbForm=Fin,4,acl:relcl,_,XmlId=w_qgraal_cm_6376,2
537,8954,Ne ne revendrai a cort por chose qui ,aviegne," devant que je l'aie veu plus apertement qu'il ne m'a ci esté demostré, se ce puet estre en nule maniere que je le puisse veoir ne doie, ",9,aviegne,_,VERB,VERcjg,VerbForm=Fin,7,acl:relcl,_,XmlId=w_qgraal_cm_6633,1
540,8958,et distrent qu'il ne fineroient jamés d',errer, devant qu'il seroient assis a la haute table ou si douce viande estoit toz jorz aprestee come cele qu'il avoient iluec eue. ,9,errer,_,VERB,VERinf,VerbForm=Inf,6,xcomp,_,XmlId=w_qgraal_cm_6715,1
543,8966,"tuit, ainz demorront en ceste queste li plusor qui ne ",faudra," pas si tost come vos cuidoiz, ",12,faudra,_,VERB,VERcjg,VerbForm=Fin,7,acl:relcl,_,XmlId=w_qgraal_cm_6858,1
549,8979,"- Ha.´ sire, ",fet," Lancelot, por Dieu que est ce que vos dites ? ",6,fet,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_7046,1
551,90,Blanche ad la barbe e tut ,flurit," le chef, ",7,flurit,_,VERB,VERppe,Tense=Past|VerbForm=Part,9,acl,_,XmlId=w_58_01013,1
570,10027,"et vos donrai, ",fet," li preudons, a mengier de ce que Diex nos a presté. » ",5,fet,_,VERB,VERcjg,VerbForm=Fin,3,parataxis,_,XmlId=w_qgraal_cm_56968,2
589,10085,"car il estoit a cent doubles plus clers que au comencement, et si douz a ",boivre," que nus ne s'em poïst saouler, ",17,boivre,_,VERB,VERinf,VerbForm=Inf,15,acl,_,XmlId=w_qgraal_cm_57847,1
591,10094,li niés le roi Mordrain donc le lac issoit ce fu Celydoines li filz Nasciens que Nostre Sires envoia en ceste terre por ,confondre," et por combatre contre les mescreanz, ",24,confondre,_,VERB,VERinf,VerbForm=Inf,19,advcl,_,XmlId=w_qgraal_cm_57982,1
594,10122,Si fu si preudons com tu as ,oï,", quant tu trovas a la fontainne le cors de ton ayel. ",8,oï,_,VERB,VERppe,Tense=Past|VerbForm=Part,4,acl,_,SpaceAfter=No|XmlId=w_qgraal_cm_58305,2
595,10123,De celui issi li rois Bans tes peres qui assez fu plus preudons et de sainte vie que maintes genz ne ,cuiderent,", qui cuiderent que le duel de sa terre l'eust mort, ",22,cuiderent,_,VERB,VERcjg,VerbForm=Fin,13,advcl,_,SpaceAfter=No|XmlId=w_qgraal_cm_58340,2
620,10197,mes il est ore a ce menez que ceste mesese et ceste durté li plest tant et ,embelist," qu'il n'essaia onques mes riens qui tant li pleust, ",18,embelist,_,VERB,VERcjg,VerbForm=Fin,15,conj,_,XmlId=w_qgraal_cm_59658,2
625,10211,et mout se repentoit des granz max qu'il avoit fet par quoi il estoit departiz et ,gitez," de la haute compaignie qu'il avoit veue en son dormant, ",18,gitez,_,VERB,VERppe,Tense=Past|VerbForm=Part,16,conj,_,XmlId=w_qgraal_cm_59813,1
635,10249,Et tuit si compaignon furent maintenant ,failli,", qu'il lor failli d'aide, ",7,failli,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,SpaceAfter=No|XmlId=w_qgraal_cm_60322,1
662,10333,"Quant li tornoiemenz fu comenciez, ce est a dire quant la queste fu ",comenciee," tu regardas les pecheors et les preudomes, ",15,comenciee,_,VERB,VERppe,Tense=Past|VerbForm=Part,10,ccomp,_,XmlId=w_qgraal_cm_61564,1
672,10355,"- Diex vos otroit par sa pitié, ",fait," ele, que vos jamais n'i renchaoiz. » ",9,fait,_,VERB,VERcjg,VerbForm=Fin,4,parataxis,_,XmlId=w_qgraal_cm_62030,3
686,10397,ainz s'en vet outre ausi ,armez, com il estoit. ,7,armez,_,VERB,VERppe,Tense=Past|VerbForm=Part,4,advcl,_,XmlId=w_qgraal_cm_62532,3
687,10398,Et quant il est venuz jusqu'a l'eve et il ne voit pas coment il puisse oultre ,passer,.´ il s'arreste ,19,passer,_,VERB,VERinf,VerbForm=Inf,13,ccomp,_,SpaceAfter=No|XmlId=w_qgraal_cm_62555,3
689,10403,Car s'il monte es roches et il a talent de ,mengier," il ne trouvera qui sa faim li restanche se Nostre Sires n'i met conseil, ",12,mengier,_,VERB,VERinf,VerbForm=Inf,10,acl,_,XmlId=w_qgraal_cm_62648,1
696,10414,Mes sires Gauvains chevaucha des la Pentecoste jusqu'a la Magdaleine sanz aventure trover qui a ,conter," face, ",17,conter,_,VERB,VERinf,VerbForm=Inf,18,xcomp,_,XmlId=w_qgraal_cm_62887,1
699,10423,"« Par foi, ",fet," mes sires Gauvains, de ce me voloie je plaindre a vos, ",5,fet,_,VERB,VERcjg,VerbForm=Fin,15,parataxis,_,XmlId=w_qgraal_cm_62985,2
706,10433,"- Par foi, ",fet," mes sires Gauvains, merveilles oi. ",5,fet,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_63167,2
708,10440,"- Or les conduie Diex, ",fet," mes sires Gauvains, en quel leu qu'il soient, ",7,fet,_,VERB,VERcjg,VerbForm=Fin,4,parataxis,_,XmlId=w_qgraal_cm_63276,3
709,10441,car certes se il as aventures dou saint Graal faillent li autre n'i ,recovreront," mie, ",15,recovreront,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_63302,1
711,10447,or chevauçons ensemble savoir se nos serions plus ,chaanz, de trover aucune aventure que chascuns par soi. ,9,chaanz,_,VERB,VERppa,Tense=Pres|VerbForm=Part,4,ccomp,_,XmlId=w_qgraal_cm_63364,1
713,10448,"- Par foi, ",fet," mes sires Gauvains, vos dites bien, ",5,fet,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_63378,2
728,10485,li torel ,disoient, tuit : ,3,disoient,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_63864,1
734,10491,et cil qui ,revenoient, estoient si megre et si las qu'a peines se pooient il tenir en estant. ,4,revenoient,_,VERB,VERcjg,VerbForm=Fin,2,acl:relcl,_,XmlId=w_qgraal_cm_63918,1
741,10510,et Hestors qui nule foiz ne se remuoit erroit tant ,forvoiant, ça et la qu'il venoit a la meson a.i. riche home qui tenoit noces et feste grant. ,11,forvoiant,_,VERB,VERppa,Tense=Pres|VerbForm=Part,9,advcl,_,XmlId=w_qgraal_cm_64165,1
742,10510,et Hestors qui nule foiz ne se remuoit ,erroit, tant forvoiant ça et la qu'il venoit a la meson a.i. riche home qui tenoit noces et feste grant. ,9,erroit,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_64163,1
749,10518,car ceenz n',entre, nus qui si haut soit montez com vos estes. » ,4,entre,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_qgraal_cm_64220,2
753,10523,et mes sires Gauvains qui ne ,dormoit," pas ainz se fu esveilliez por son songe, quant il oï einsi torner Hestor si li dist : ",7,dormoit,_,VERB,VERcjg,VerbForm=Fin,3,acl:relcl,_,XmlId=w_qgraal_cm_64297,2
755,10526,"- Par foi, ",fet," mes sires Gauvains, ausi vos di je. ",5,fet,_,VERB,VERcjg,VerbForm=Fin,12,parataxis,_,XmlId=w_qgraal_cm_64350,2
769,10564,"« Biaux amis, ",fet," mes sires Gauvains, savriez nos vos ici pres enseignier ne hermite ne religion ? ",5,fet,_,VERB,VERcjg,VerbForm=Fin,10,parataxis,_,XmlId=w_qgraal_cm_64817,1
772,10571,"- Or te comandons a Dieu, ",fet," mes sires Gauvains, biax amis, ",8,fet,_,VERB,VERcjg,VerbForm=Fin,4,parataxis,_,XmlId=w_qgraal_cm_64928,2
773,10575,"« A non Dieu, ",fet," mes sires Gauvains, puis que je parti de Camaalot ne trovai mes qui joste me demandast, ",6,fet,_,VERB,VERcjg,VerbForm=Fin,18,parataxis,_,XmlId=w_qgraal_cm_65005,1
778,10585,si s'entrefierent si granz coux que li escuz ,percent,", et li hauberc rompent, ",10,percent,_,VERB,VERcjg,VerbForm=Fin,5,advcl,_,SpaceAfter=No|XmlId=w_qgraal_cm_65114,1
779,10589,mes li chevaliers fu ,navrez, si mortelment que li glaives en parut d'autre part. ,5,navrez,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_qgraal_cm_65153,1
791,10617,et si tost com il fu ,couchiez," si demande son sauveor, ",7,couchiez,_,VERB,VERppe,Tense=Past|VerbForm=Part,9,advcl,_,XmlId=w_qgraal_cm_65519,1
794,10621,et se fet confés ,oiant," toz cels de la place de toz ses pechiez dom il se sent corpables vers son criator, ",5,oiant,_,VERB,VERppa,Tense=Pres|VerbForm=Part,3,advcl,_,XmlId=w_qgraal_cm_65553,1
795,10622,et comence a ,plorer, trop tendrement et a crier merci. ,4,plorer,_,VERB,VERinf,VerbForm=Inf,2,xcomp,_,XmlId=w_qgraal_cm_65575,1
806,10662,"- Dehez ait, ",fait," Galaad, fauz chevalier qui ceste costume establi, ",5,fait,_,VERB,VERcjg,VerbForm=Fin,3,parataxis,_,XmlId=w_qgraal_cm_100834,1
810,10670,"- Par foi, ",fet," li chevaliers, et vos morroiz donques tuit, ",5,fet,_,VERB,VERcjg,VerbForm=Fin,11,parataxis,_,XmlId=w_qgraal_cm_100911,1
833,10721,Quant nos oïsmes ceste chose si establismes que jamés ne ,passeroit, damoisele par ci devant por quoi ele fust pucele que nos n'eussons pleine escuele de son sanc. ,11,passeroit,_,VERB,VERcjg,VerbForm=Fin,7,ccomp,_,XmlId=w_qgraal_cm_101662,1
839,10733,"- Par foi, ",fet," ele, se je moroie par ceste garison ce seroit honor a moi et a tot mon ancestre, ",5,fet,_,VERB,VERcjg,VerbForm=Fin,16,parataxis,_,XmlId=w_qgraal_cm_101808,1
851,10759,et cele dist que si ,feroit," ele volentiers, ",6,feroit,_,VERB,VERcjg,VerbForm=Fin,3,ccomp,_,XmlId=w_qgraal_cm_102162,1
853,10774,Et quant ele ot grant piece esté en pasmoisons et ele pot ,parler, si dist a Perceval : ,13,parler,_,VERB,VERinf,VerbForm=Inf,7,conj,_,XmlId=w_qgraal_cm_102309,1
854,10777,mais si tost com je seré ,deviee, metez moi en une nacele au plus prochain port que vos troveroiz pres de ci. ,7,deviee,_,VERB,VERppe,Tense=Past|VerbForm=Part,8,advcl,_,XmlId=w_qgraal_cm_102352,1
863,10792,et il ne demora mie granment que il ,vint, que li besoinz estoit si granz. ,9,vint,_,VERB,VERcjg,VerbForm=Fin,4,advcl,_,XmlId=w_qgraal_cm_102572,1
873,10812,"« Car tel porra or le cors trouver, ",fet," il, qui greignor honor li portera que devant, puis que l'en savra la verité de son estre et de sa vie. » ",10,fet,_,VERB,VERcjg,VerbForm=Fin,8,parataxis,_,XmlId=w_qgraal_cm_102923,2
877,10822,Quant li troi compaignon furent ,monté," et il se furent mis a la voie si virent le tens mout oscur, et les nues chargier de pluie durement. ",6,monté,_,VERB,VERppe,Tense=Past|VerbForm=Part,16,advcl,_,XmlId=w_qgraal_cm_103074,2
881,10828,tout le jor dura cele tempeste si grant et si merveilleuse par le chastel qu'il i ot bien la moitié des murs ,abatuz, et versez par terre. ,24,abatuz,_,VERB,VERppe,Tense=Past|VerbForm=Part,21,acl,_,XmlId=w_qgraal_cm_103175,1
882,10831,Quant vint aprés vespres que li tens fu auques ,raquoisiez," si voient li compaignon par devant ax.i. chevalier navré mout durement ou cors afoïr devant ax, ",10,raquoisiez,_,VERB,VERppe,Tense=Past|VerbForm=Part,2,ccomp,_,XmlId=w_qgraal_cm_103227,1
